,names,rating,cuisine types,price,location,url
451,Verve - Royal Orchid Resort,4.0,"North Indian, European, Chinese","₹1,800 for two"," Royal Orchid Resort, Yelahanka, Bangalore",https://www.zomato.com/bangalore/verve-royal-orchid-resort-yelahanka-bangalore/info
452,Ac’lyrics,4.1,"Seafood, Italian, Chinese, Finger Food","₹1,100 for two"," Svenska Design Hotel, Electronic City, Bangalore",https://www.zomato.com/sky-lounge/info
453,Avon Pub And Kitchen,3.7,"Chinese, North Indian, Seafood, Fast Food, Pasta","₹1,200 for two"," BTM, Bangalore",https://www.zomato.com/bangalore/avon-pub-and-kitchen-1-btm-bangalore/info
454,Barbeque Nation,New,"North Indian, BBQ, Biryani, Kebab, Beverages, Desserts","₹1,800 for two"," Gopalan Signature Mall, Old Madras Road, Bangalore",https://www.zomato.com/bangalore/barbeque-nation-old-madras-road-bangalore/info
455,Le Rock,4.1,"Continental, Chinese, Fast Food, North Indian","₹2,500 for two"," Brigade Road, Bangalore",https://www.zomato.com/bangalore/le-rock-brigade-road-bangalore/info
456,Bonjour Pub,-,"North Indian, Chinese, Seafood, Pizza, Fast Food, Biryani, Desserts","₹1,500 for two"," Electronic City, Bangalore",https://www.zomato.com/bangalore/bonjour-pub-1-electronic-city-bangalore/info
457,Cirkus,4.2,"Thai, South Indian, Italian, Fast Food, Bar Food, Steak, Beverages, Desserts","₹1,800 for two"," HSR, Bangalore",https://www.zomato.com/bangalore/cirkus-hsr-bangalore/info
458,Bhagini Kitchen And Bar,4.1,"Andhra, South Indian, Chinese, North Indian, Sichuan","₹1,300 for two"," Varthur Main Road, Whitefield, Bangalore",https://www.zomato.com/bangalore/bhagini-kitchen-and-bar-varthur-main-road-whitefield-bangalore/info
459,Blackout,-,"Continental, North Indian, Mughlai, Chinese, Pizza, Fast Food, Seafood, Biryani","₹1,000 for two"," Kadubeesanahalli, Bangalore",https://www.zomato.com/bangalore/blackout-kadubeesanahalli-bangalore/info
460,Rigan Restobar,4.3,Continental,₹950 for two," Kempegowda International Airport, Bangalore",https://www.zomato.com/bangalore/rigan-restobar-international-airport-bangalore/info
461,Club VII,-,"North Indian, Chinese, Mughlai, Pizza, Pasta, Fast Food","₹1,000 for two"," Domlur, Bangalore",https://www.zomato.com/bangalore/club-vii-domlur-bangalore/info
462,D Pub And Restaurant,4.1,"Fast Food, North Indian, Chinese, Pizza, Beverages","₹1,200 for two"," Banaswadi, Bangalore",https://www.zomato.com/bangalore/d-pub-and-restaurant-banaswadi-bangalore/info
463,The Library Bar,-,"Bar Food, Beverages","₹5,000 for two"," The Leela - Bhartiya City, Bangalore",https://www.zomato.com/bangalore/the-library-bar-jakkur-bangalore/info
464,Greens Bar & Restaurant,-,"Bar Food, Chinese, North Indian, Mughlai",₹850 for two," HSR, Bangalore",https://www.zomato.com/bangalore/greens-bar-restaurant-hsr-bangalore/info
465,Cafe Solaire - Golden Palms Hotel & Spa,4.0,"Mughlai, North Indian","₹1,400 for two"," Golden Palms Hotel & Spa, Bangalore",https://www.zomato.com/bangalore/cafe-solaire-golden-palms-hotel-spa-yeshwantpur/info
466,Tech Tonic,-,"Fast Food, Burger, Beverages","₹1,400 for two"," Embassy Manyata Business Park,  Nagawara , Bangalore",https://www.zomato.com/bangalore/tech-tonic-1-nagawara-bangalore/info
467,5C Resto Bar,3.7,"Chinese, Street Food, Fast Food, North Indian, Kebab, Biryani, Mughlai, Bar Food",₹850 for two," Rajajinagar, Bangalore",https://www.zomato.com/bangalore/5c-resto-bar-rajajinagar-bangalore/info
468,Litbox,New,"Bar Food, Continental, Beverages","₹2,000 for two"," Whitefield, Bangalore",https://www.zomato.com/bangalore/litbox-whitefield-bangalore/info
469,Halfway House Restobar,-,"Continental, Pizza, Sandwich, North Indian, Desserts, Beverages","₹1,500 for two"," Sanjay Nagar, Bangalore",https://www.zomato.com/bangalore/halfway-house-restobar-sanjay-nagar-bangalore/info
470,Anu's Wine & Dine,-,"Biryani, Chinese, South Indian, Mughlai, North Indian, Seafood","₹1,200 for two"," Nagarbhavi, Bangalore",https://www.zomato.com/bangalore/anus-wine-dine-nagarbhavi-bangalore/info
471,Kadamba,-,"North Indian, Seafood, Chinese, Bar Food","₹1,400 for two"," Banashankari, Bangalore",https://www.zomato.com/bangalore/kadamba-banashankari-bangalore/info
472,Ujwal Family Bar And Restaurant,-,"Bar Food, Chinese, North Indian, Mughlai, Seafood, South Indian","₹1,200 for two"," Sanjay Nagar, Bangalore",https://www.zomato.com/bangalore/ujwal-family-bar-and-restaurant-sanjay-nagar-bangalore/info
473,Flamingo Pool Bar,-,Bar Food,"₹3,000 for two"," JW Marriott Bengaluru Prestige Golfshire Resort & Spa, International Airport, Bangalore",https://www.zomato.com/bangalore/flamingo-pool-bar-international-airport-bangalore/info
474,BLR37 Bar & Kitchen,-,"North Indian, Andhra, Chinese, Mughlai, Beverages, Desserts","₹1,800 for two"," Marathahalli, Bangalore",https://www.zomato.com/bangalore/blr37-bar-kitchen-marathahalli-bangalore/info
475,Tonique Resto Bar,-,"Pizza, Burger, Fast Food","₹1,200 for two"," KR Puram, Bangalore",https://www.zomato.com/bangalore/tonique-resto-bar-kr-puram-bangalore/info
476,Habitat Restobar,New,"Continental, North Indian, Chinese, Fast Food, Bar Food","₹1,000 for two"," Bellandur, Bangalore",https://www.zomato.com/bangalore/habitat-restobar-bellandur-bangalore/info
477,U & Me Bar And Restaurant,-,"North Indian, Mughlai, Seafood, Kebab, Chinese, South Indian, Biryani, Desserts","₹1,000 for two"," Rajarajeshwari Nagar, Bangalore",https://www.zomato.com/bangalore/u-me-bar-and-restaurant-rajarajeshwari-nagar-bangalore/info
478,Mayuri Bar & Restaurant,-,"North Indian, Kebab, Chinese, Biryani, Rolls, Beverages",₹850 for two," Varthur Main Road, Whitefield, Bangalore",https://www.zomato.com/bangalore/mayuri-bar-restaurant-varthur-main-road-whitefield-bangalore/info
479,Skylines Bar & Restaurant,New,"Bar Food, Fast Food, Beverages",₹800 for two," Basavanagudi, Bangalore",https://www.zomato.com/bangalore/skylines-bar-restaurant-basavanagudi-bangalore/info
480,Kinara Lunch Home - Bar & Restaurant,New,"Bar Food, South Indian, North Indian, Seafood","₹1,000 for two"," Basaveshwara Nagar, Bangalore",https://www.zomato.com/bangalore/kinara-lunch-home-bar-restaurant-basaveshwara-nagar-bangalore/info
481,Double Up,-,"Continental, Modern Indian, Beverages, Finger Food","₹3,500 for two"," Embassy Manyata Business Park,  Nagawara , Bangalore",https://www.zomato.com/bangalore/double-up-nagawara-bangalore/info
482,Core @BLVD Club,-,"European, Modern Indian, Oriental, Desserts","₹2,200 for two"," Yelahanka, Bangalore",https://www.zomato.com/bangalore/core-@blvd-club-yelahanka-bangalore/info
483,Tetto Restobar,-,"Chinese, Fast Food, North Indian",₹850 for two," Koramangala 1st Block, Bangalore",https://www.zomato.com/bangalore/tetto-restobar-koramangala-1st-block-bangalore/info
484,Upper House,-,"South Indian, North Indian, Chinese, Continental, Bar Food, Beverages, Desserts","₹2,000 for two"," Race Course Road, Bangalore",https://www.zomato.com/bangalore/upper-house-race-course-road-bangalore/info
485,Orchid Wine And Dine Family Restaurant,-,"Bar Food, South Indian, Chinese, North Indian, Biryani","₹1,000 for two"," Hennur, Bangalore",https://www.zomato.com/bangalore/orchid-wine-and-dine-family-restaurant-hennur-bangalore/info
486,DJ Bar And Family Restaurant,New,"Bar Food, South Indian","₹1,000 for two"," Sahakara Nagar, Bangalore",https://www.zomato.com/bangalore/dj-bar-and-family-restaurant-sahakara-nagar-bangalore/info
487,Tirumala Dreams,-,"Chinese, North Indian",₹950 for two," Yelahanka, Bangalore",https://www.zomato.com/bangalore/tirumala-dreams-yelahanka-bangalore/info
488,White Stag Resto Bar,-,Finger Food,"₹1,200 for two"," Banashankari, Bangalore",https://www.zomato.com/bangalore/white-stag-resto-bar-banashankari-bangalore/info
489,Ranganatha Peg 'N' Dine,-,"North Indian, Seafood, Chinese, Biryani, Kebab","₹1,800 for two"," Sahakara Nagar, Bangalore",https://www.zomato.com/bangalore/ranganatha-peg-n-dine-sahakara-nagar-bangalore/info
490,The Auction Bar,-,"Bar Food, Modern Indian","₹2,000 for two"," The Leela Palace, Old Airport Road, Bangalore",https://www.zomato.com/bangalore/the-auction-bar-airport-road-bangalore/info
491,Flavours,-,Chinese,"₹1,100 for two"," JP Nagar, Bangalore",https://www.zomato.com/bangalore/flavours-jp-nagar-bangalore/info
492,Sunrise Spirit Zone,-,"South Indian, North Indian, Chinese, Mughlai",₹350 for two," Varthur Main Road, Whitefield, Bangalore",https://www.zomato.com/bangalore/sunrise-spirit-zone-varthur-main-road-whitefield-bangalore/info
493,Nandini Bar And Restaurant,New,"South Indian, Roast Chicken, North Indian, Chinese, Bar Food, Beverages","₹1,000 for two"," New BEL Road, Bangalore",https://www.zomato.com/bangalore/nandini-bar-and-restaurant-new-bel-road-bangalore/info
494,M M Bar And Restaurant,-,"Chinese, North Indian, Mughlai, Sichuan",₹600 for two," Banashankari, Bangalore",https://www.zomato.com/bangalore/m-m-bar-and-restaurant-1-banashankari-bangalore/info
495,5 C Restobar,-,"Chinese, North Indian, Seafood, Biryani",₹950 for two," Rajajinagar, Bangalore",https://www.zomato.com/bangalore/5-c-restobar-1-rajajinagar-bangalore/info
496,Amruth Bar & Restaurant,New,"Bar Food, South Indian","₹1,000 for two"," JP Nagar, Bangalore",https://www.zomato.com/bangalore/amruth-bar-restaurant-jp-nagar-bangalore/info
497,Thaikoon Bar And Restaurant,-,"North Indian, Chinese, Fast Food","₹2,000 for two"," Brigade Road, Bangalore",https://www.zomato.com/bangalore/thaikoon-bar-and-restaurant-brigade-road-bangalore/info
498,Sudha Bar & Restaurant,-,"Chinese, Andhra, Bar Food",₹600 for two," KR Puram, Bangalore",https://www.zomato.com/bangalore/sudha-bar-restaurant-kr-puram-bangalore/info
499,New Priya Bar And Restaurant,-,"Bar Food, Chinese, North Indian, Mughlai, Biryani, Andhra",₹600 for two," Vijay Nagar, Bangalore",https://www.zomato.com/bangalore/new-priya-bar-and-restaurant-vijay-nagar-bangalore/info
500,In House Blend Bar & Kitchen,-,"Bar Food, South Indian","₹1,000 for two"," Brigade Road, Bangalore",https://www.zomato.com/bangalore/in-house-blend-bar-kitchen-brigade-road-bangalore/info
