,names,rating,cuisine types,price,location,url
361,Botlee Bar - Sarovar Portico,4.2,"North Indian, Continental, Chinese","₹1,400 for two"," Marathahalli, Bangalore",https://www.zomato.com/bangalore/botlee-bar-sarovar-portico-marathahalli-bangalore/info
362,B'lore 45 The Bar - Courtyard By Marriott,4.0,"North Indian, Beverages","₹3,000 for two"," Courtyard by Marriott Bengaluru, Hebbal, Bangalore",https://www.zomato.com/bangalore/blore-45-the-bar-courtyard-by-marriott-hebbal-bangalore/info
363,New Friends,3.9,"North Indian, Continental, Chinese, Steak, Beverages","₹1,100 for two"," BTM, Bangalore",https://www.zomato.com/bangalore/new-friends-btm/info
364,Tiger Trail - Regenta Place,4.0,"North Indian, Mughlai, Desserts","₹1,100 for two"," Shivajinagar, Bangalore",https://www.zomato.com/bangalore/tiger-trail-regenta-place-shivajinagar-bangalore/info
365,Venus Bar And Restaurant,4.1,"North Indian, Fast Food, Chinese, Seafood, Sichuan","₹1,100 for two"," Yeshwantpur, Bangalore",https://www.zomato.com/bangalore/venus-bar-and-restaurant-yeshwantpur-bangalore/info
366,Oakleaf,3.9,"Asian, Continental, North Indian, Italian","₹2,500 for two"," Forum Neighbourhood Mall, Whitefield, Bangalore",https://www.zomato.com/bangalore/oakleaf-whitefield/info
367,WYT RestroPub,3.4,"North Indian, Chinese, Fast Food, Beverages, Sichuan","₹1,800 for two"," MG Road, Bangalore",https://www.zomato.com/bangalore/wyt-restropub-mg-road/info
368,Purple Bar- JP Cordial Hotel,4.2,"Bar Food, Continental, North Indian, Italian, Beverages","₹2,000 for two"," JP Cordial Hotel, Race Course Road, Bangalore",https://www.zomato.com/bangalore/purple-bar-jp-cordial-hotel-majestic-bangalore/info
369,Purple Bar- JP Cordial Hotel,4.2,"Bar Food, Continental, North Indian, Italian, Beverages","₹2,000 for two"," JP Cordial Hotel, Race Course Road, Bangalore",https://www.zomato.com/bangalore/purple-bar-jp-cordial-hotel-majestic-bangalore/info
370,Straight Up,3.8,"Fast Food, Finger Food, North Indian, Beverages","₹1,800 for two"," Hennur, Bangalore",https://www.zomato.com/bangalore/straight-up-hennur/info
371,B52 - Sports Bar,3.8,"Italian, Finger Food, American","₹1,800 for two"," RG Royal Hotels, Yeshwantpur, Bangalore",https://www.zomato.com/bangalore/b52-sports-bar-yeshwantpur-bangalore/info
372,Ambrosia,4.0,"Continental, South Indian, North Indian, Chinese","₹3,000 for two"," International Airport, Bangalore",https://www.zomato.com/bangalore/ambrosia-international-airport/info
373,KittyKo,4.2,"Finger Food, Continental","₹3,000 for two"," The Lalit Ashok Bangalore, Seshadripuram, Bangalore",https://www.zomato.com/bangalore/kittyko-seshadripuram/info
374,La Queens Pub,4.3,"Chinese, Fast Food, North Indian","₹1,400 for two"," Bommanahalli, Bangalore",https://www.zomato.com/bangalore/la-queens-pub-bommanahalli-bangalore/info
375,Fandom at Gilly's Redefined,4.0,Bar Food,"₹1,900 for two"," Gilly's Redefined, Koramangala 4th Block, Bangalore",https://www.zomato.com/bangalore/fandom-at-gillys-redefined-koramangala-4th-block/info
376,Aura - Radha Regent,3.8,"Continental, American, South Indian, Italian, North Indian, Chinese","₹2,500 for two"," Radha Regent Bengaluru, Electronic City, Bangalore",https://www.zomato.com/bangalore/aura-radha-regent-electronic-city/info
377,Vaishnavi Palace,3.8,"North Indian, South Indian, Chinese, Mughlai, Seafood, Ice Cream","₹1,200 for two"," Kanakapura Road, Bangalore",https://www.zomato.com/bangalore/vaishnavi-palace-kanakapura-road/info
378,The Lobby Lounge - Shangri-La Hotel,4.1,"Cafe, South Indian, Street Food, Fast Food, Tea, Beverages, Coffee, Desserts","₹3,000 for two"," Shangri-La Hotel, Vasanth Nagar , Bangalore",https://www.zomato.com/bangalore/the-lobby-lounge-shangri-la-hotel-vasanth-nagar-bangalore/info
